question,air_passengers.csv,melbourne_temp.csv,nyc_taxi.csv
What is the min of the target variable?,104.00,0.00,8.00
What is the max of the target variable?,622.00,26.30,39197.00
What is the mean of the target variable?,280.30,11.18,15137.57
What is the standard deviation of the target variable?,119.97,4.07,6939.50
What is the Q1 of the target variable?,180.00,8.30,10262.00
How many None in the target column?,0,2,0
How many data points in the data?,144.00,3652.00,10320.00
Tell me the start date of the given time series data.,1949-01-01 00:00:00,1981-01-01 00:00:00,2014-07-01 00:00:00
What is the time column?,ds,Date,time
What is the target column?,y,Daily minimum temperatures,#Passengers
